#Target Vertices,#Query Vertices,MSEC,STDEV
10,10,0.030356404000000514,0.6607837420808618
10,20,0.004925602999999997,0.01061482877918439
10,40,0.0040850710000000035,0.006038366015578801
10,80,0.0038109920000000018,0.008613922469946805
10,160,0.0037805770000000015,0.007517184064816795
10,320,0.003957196000000003,0.009320692158090477
10,640,0.004431469000000011,0.013314290561580693
10,1280,0.005222972000000029,0.0294144745211704
10,2560,0.005518139000000022,0.039779809472537085
10,5120,0.007634718999999967,0.0770739276268041
10,10240,0.012320116000000008,0.14784938123493008
10,20480,0.02010911499999983,0.24756063482082982
10,40960,0.030847744000000045,0.2560129946747651
10,81920,0.0509577949999992,0.774695279687678
10,163840,0.14482772700000113,2.8430733650291424
10,327680,0.10072370099999924,0.719606471898693
10,655360,0.25854264199999794,3.2846367264308878
10,1310720,0.3656027209999992,2.2905089234664597
20,10,0.002186079000000001,0.0037382089694208
20,20,0.0021724350000000003,0.003273662093325486
20,40,0.0020464129999999995,0.0026718572434844996
20,80,0.002140159999999998,0.0027557926815534746
20,160,0.0023031090000000007,0.003361609204467798
20,320,0.0025005290000000018,0.004176260457702493
20,640,0.0025570199999999997,0.003793675137204892
20,1280,0.0027752520000000024,0.004607418002215884
20,2560,0.003157920999999998,0.006450713809138203
20,5120,0.003928006999999998,0.010186163845866916
20,10240,0.00541479199999999,0.01872834486082418
20,20480,0.008459765000000024,0.03576029262716586
20,40960,0.013977001999999978,0.06743981386372595
20,81920,0.025364668000000038,0.13537670682752284
20,163840,0.0479165770000003,0.27326311813897347
20,327680,0.09423928699999967,0.5738199253556967
20,655360,0.1850074619999999,1.1426083471549084
20,1310720,0.36588237599999857,2.2851299110508707
40,10,0.0022562389999999997,0.002414983453558216
40,20,0.0020563509999999997,0.00264797231163057
40,40,0.0021447870000000004,0.0027274114318800095
40,80,0.0022658590000000007,0.003012957689240955
40,160,0.0024164029999999997,0.0033879627580953925
40,320,0.002579650000000001,0.00376918513794481
40,640,0.002727417999999999,0.004062768305426662
40,1280,0.0030014720000000016,0.005146938839216026
40,2560,0.0034791979999999993,0.007607627242383494
40,5120,0.004316006000000005,0.011470461765294133
40,10240,0.005776122000000021,0.01953882346292714
40,20480,0.008725434000000023,0.036402757114333786
40,40960,0.014454386000000041,0.06900494296250284
40,81920,0.025936098999999976,0.13604632839428854
40,163840,0.04872824900000013,0.2747107866664143
40,327680,0.0946862629999998,0.5750361245945931
40,655360,0.18593246600000138,1.1385922752246131
