#Target Vertices,#Query Vertices,MSEC,STDEV
500,500,6.474483700000001,7.155253675096208
500,1000,7.0614056,5.882455125467563
500,1500,7.9815653,5.757692145777335
500,2000,9.012938400000001,7.255459904688518
500,2500,12.4761461,9.439436393617818
500,3000,15.050886,11.457371325078212
500,3500,23.2282778,19.424267673016406
500,4000,24.8408306,16.35821667547976
500,4500,28.2272472,19.400392706722066
500,5000,36.869111100000005,25.62209069185131
500,5500,42.1415054,27.532267608873294
500,6000,50.873103799999996,33.26832685543799
500,6500,57.207694,34.18125620950903
500,7000,64.4247925,38.147492608446065
500,7500,80.65970279999999,51.98665061145758
500,8000,85.8913116,50.14850106500509
500,8500,100.38156579999999,57.508748723595716
500,9000,114.3378514,64.50945324368526
500,9500,134.32224490000002,80.36827580481985
500,10000,147.315754,81.59373821783035
1000,500,2.2686609,2.850834334211242
1000,1000,3.952511,5.431928088071696
1000,1500,6.488048099999999,9.160368721015843
1000,2000,9.243901699999999,11.847535782050384
1000,2500,13.115121,17.666673622059633
1000,3000,13.889675,17.365312975904708
1000,3500,17.8588854,21.84052371650797
1000,4000,21.4365663,25.385235248715436
1000,4500,26.1549719,30.06718106651248
1000,5000,33.4517482,36.500942097527826
1000,5500,36.9358146,40.72768199824898
1000,6000,44.3046953,48.13490711252678
1000,6500,49.329148200000006,51.79563624541337
1000,7000,61.547606200000004,68.86272819252095
1000,7500,67.76874740000001,68.50611049560477
1000,8000,75.761642,75.55265507305081
1000,8500,86.8782988,85.37949173736888
1000,9000,100.7504057,99.12597577769812
1000,9500,115.70891859999999,109.50222344045667
1000,10000,130.2849344,125.88062566364965
1500,500,5.8198654,6.120757954339066
1500,1000,9.9280387,10.942160571294869
1500,1500,14.561768599999999,16.16211454679801
1500,2000,19.3655322,21.399662583713457
1500,2500,25.385756399999998,27.906698695192777
1500,3000,32.2301973,35.69200913858776
1500,3500,36.6681316,39.389678363666576
1500,4000,44.0875444,47.371943877483844
1500,4500,51.635335399999995,54.898063136513336
1500,5000,58.5221762,61.16025407600662
1500,5500,69.1074409,71.63320809044647
1500,6000,77.7223312,80.262114188921
1500,6500,93.8402545,96.74543037360077
1500,7000,103.6053057,104.11236726841878
1500,7500,108.2200399,107.24120078058593
1500,8000,120.0214234,119.68139728665847
1500,8500,136.30419609999998,132.87542815264658
1500,9000,150.6126534,145.8275667754549
1500,9500,164.9264804,154.78501614801192
1500,10000,181.84260980000002,173.2170696347735
2000,500,4.2600795,5.087788826201489
2000,1000,6.5905396,8.583745714036917
2000,1500,9.9562843,12.007537500098003
2000,2000,12.9971719,15.983410784906578
2000,2500,16.5912414,20.286317789425148
2000,3000,20.7698116,25.30387801513109
2000,3500,24.785549600000003,30.251902627654513
2000,4000,29.7918445,35.477224909796945
2000,4500,35.330028399999996,41.65757312527594
2000,5000,40.505704200000004,46.8210207882968
2000,5500,48.0211525,54.44100057759468
2000,6000,53.4518786,60.17498580445028
2000,6500,63.29459,69.19543678197702
2000,7000,73.0780166,79.31042476011831
2000,7500,81.2899243,85.67035186766988
2000,8000,95.1005114,98.18106166821998
2000,8500,101.9218283,104.9963045171852
2000,9000,121.5132954,126.37791047027125
2000,9500,141.6103307,142.57614506254703
2000,10000,149.0729807,147.34296290221994
2500,500,8.981092199999999,10.816702093983357
2500,1000,13.9918567,18.706167392404385
2500,1500,19.3214875,25.756252674986435
2500,2000,25.9560098,35.524676945636834
2500,2500,33.8485855,44.96171160536443
2500,3000,47.5181612,60.71030980996791
2500,3500,48.6794026,68.35164413899801
2500,4000,55.7877707,75.59543480029264
2500,4500,63.0184644,85.59961802005334
2500,5000,79.5998973,101.82416161493754
2500,5500,87.3135939,113.46838451802553
2500,6000,93.8806675,123.3332131381387
2500,6500,108.41713920000001,145.33190717815668
2500,7000,112.2239523,147.36991107125334
2500,7500,119.7175177,153.40927979604214
2500,8000,140.27381,176.7705014770193
2500,8500,155.4114814,193.59296622213324
2500,9000,159.5726699,199.07345762880124
2500,9500,173.0605727,213.62326243620603
2500,10000,189.0870851,231.04108061729926
3000,500,7.4879475,10.679715715272192
3000,1000,11.406004900000001,17.199944674700742
3000,1500,15.9776256,24.994701871711676
3000,2000,20.023627100000002,32.16462184527813
3000,2500,24.120998399999998,38.49190473911778
3000,3000,29.120278600000002,46.521259675451766
3000,3500,33.8010023,54.83417966994432
3000,4000,40.7173611,65.02756475342552
3000,4500,45.4591702,73.1091639905462
3000,5000,51.291730799999996,81.7139653988049
3000,5500,57.8906201,91.47828077861892
3000,6000,64.1617657,100.63217496012092
3000,6500,73.5661403,114.73642034160831
3000,7000,85.12085470000001,134.93136177109093
3000,7500,87.91858020000001,134.75933347218609
3000,8000,99.6779055,150.71894489514423
3000,8500,115.4903397,172.17003734722212
3000,9000,128.6193355,183.5549060428763
3000,9500,131.2765154,196.89248313971981
3000,10000,148.36599919999998,210.26872584125158
3500,500,14.5572992,11.759620047631545
3500,1000,21.7878999,19.94654978655804
3500,1500,26.944641899999997,26.133332616975917
3500,2000,32.3411939,32.4802767226219
3500,2500,40.2577317,41.494877563478155
3500,3000,46.949397399999995,48.238079490956494
3500,3500,57.7361064,59.8742444520274
3500,4000,64.67462760000001,66.74100743944064
3500,4500,74.35342059999999,76.77691134040704
3500,5000,83.3276843,84.46546916636126
3500,5500,95.4415088,96.39355167163065
3500,6000,105.5217641,105.1927200302448
3500,6500,118.5366592,118.07059606135189
3500,7000,133.1264567,128.18491012803847
3500,7500,146.20653430000002,140.24741059034986
3500,8000,161.7494546,150.5887936995001
3500,8500,177.38955909999999,163.65406897039279
3500,9000,193.23281559999998,175.16093743443906
3500,9500,213.47225880000002,190.4606761737913
3500,10000,228.4702227,203.03555286933894
4000,500,25.929036699999997,13.2856355411155
4000,1000,38.5352377,25.92142599471692
4000,1500,50.8685102,35.859266722806076
4000,2000,66.5929484,47.227975285286526
4000,2500,70.78017820000001,56.43480663840773
4000,3000,88.8199302,66.40063811361502
4000,3500,101.6309904,82.51227441347294
4000,4000,117.931331,88.69867988487721
4000,4500,134.293844,100.56241639808987
4000,5000,150.69742169999998,111.79206742064554
4000,5500,171.8974376,127.54549126585385
4000,6000,193.3703196,138.67122253804163
4000,6500,214.6338418,149.8059103825488
4000,7000,239.70414590000001,163.23805543702852
4000,7500,254.881641,172.70823910258096
4000,8000,285.2566515,187.49930311147455
4000,8500,307.2870302,198.5433923209768
4000,9000,331.2877513,206.0309155513849
4000,9500,364.6971932,225.14527937940503
4000,10000,390.43639360000003,231.2381541774273
4500,500,24.0057187,23.700944899946172
4500,1000,33.8094137,36.912710234430186
4500,1500,44.3908294,51.51471961192022
4500,2000,54.7958484,64.61884773017827
4500,2500,67.7750484,83.46012227204088
4500,3000,78.1967357,96.55893047545231
4500,3500,92.12340979999999,115.23598244848189
4500,4000,101.7912458,127.42764941643861
4500,4500,117.2033049,147.07979445594214
4500,5000,127.1090262,158.95349058463609
4500,5500,145.4681095,182.54960461326442
4500,6000,161.1363355,199.28722645062692
4500,6500,173.433044,213.53543282591951
4500,7000,195.8948688,237.37026826574592
4500,7500,209.36808969999998,253.19374089975517
4500,8000,229.68038230000002,277.35791983803443
4500,8500,255.8792124,309.187747561147
4500,9000,262.0592886,311.0547437465706
4500,9500,288.2996183,340.882050113048
4500,10000,349.45851960000005,404.6553696681718
5000,500,6.718980200000001,14.136760403672396
5000,1000,6.5497850999999985,13.85321712760062
5000,1500,7.332409400000001,15.504516024523037
5000,2000,7.692186,16.316914119406594
5000,2500,8.400471300000001,17.90830901265514
5000,3000,9.5566225,20.500432600978527
5000,3500,10.127559099999997,21.50040995642797
5000,4000,13.972550100000001,31.21257815546078
5000,4500,15.324248599999999,32.31390931731929
5000,5000,14.952336,31.963228969393374
5000,5500,16.399759699999997,34.75525765828639
5000,6000,17.9300895,38.28142532481955
5000,6500,24.7441122,54.948760231819186
5000,7000,23.757466600000004,50.714637465384776
5000,7500,24.957103800000006,53.265170765579285
5000,8000,32.90011810000001,72.5149283910319
5000,8500,30.363463799999998,64.50811260414338
5000,9000,33.92093789999999,72.08135112461375
5000,9500,37.3651808,79.24901096702237
